facebook.com, 157.240.28.35
youtube.com, 142.250.72.78
yahoo.com, 74.6.231.20
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
msn.com, 204.79.197.219
baidu.com, 39.156.66.10
blogspot.com, 142.250.72.73
microsoft.com, 20.70.246.20
qq.com, 183.3.226.35
taobao.com, 106.11.226.158
bing.com, 13.107.21.200
sina.com.cn, 36.51.254.91
soso.com, 119.28.109.132
163.com, 123.58.180.8
ask.com, 151.101.70.114
adobe.com, 184.28.41.72
twitter.com, 104.244.42.1
mozilla.com, 44.236.48.31
youku.com, 106.11.43.215
sdjjdsaf.com, (null)
andysayler.com, 159.89.253.85
wmfo.org, 23.92.21.128
